darshan_agg_perf_by_slowest,darshan_api,darshan_api_mpiio?,darshan_app,darshan_end_time,darshan_file_system,darshan_io_time,darshan_jobid,darshan_start_time,darshan_total_bytes,darshan_total_gibs,darshan_walltime,darshan_write_mode?,job_avg_radius,job_concurrent_jobs,job_max_radius,job_min_radius,lmt_bytes_covered,lmt_frac_missing,lmt_frac_zeros,lmt_mds_ave,lmt_mds_max,lmt_ops_closes,lmt_ops_getattrs,lmt_ops_getxattrs,lmt_ops_mkdirs,lmt_ops_opens,lmt_ops_renames,lmt_ops_rmdirs,lmt_ops_setattrs,lmt_ops_unlinks,lmt_oss_ave,lmt_oss_max,lmt_tot_bytes_read,lmt_tot_bytes_write,lmt_tot_missing,lmt_tot_zeros,ost_avg_bad_ost_per_oss,ost_avg_bad_overload_factor,ost_avg_kib,ost_avg_pct,ost_bad_oss_count,ost_bad_ost_count,ost_bad_pct,ost_count,ost_failures_lead_secs,ost_fullness_lead_secs,ost_max_id,ost_max_kib,ost_max_name,ost_max_pct,ost_min_id,ost_min_kib,ost_min_name,ost_min_pct
10,18436.623305,H5Part,1,BD-CATS-IO,1487192645,scratch2,85.313157,3930037,1487192553,1649291067392,1536.02200317,92,0,4.24403173683,1192,8.12071702018,0.644045745173,0.949725736042,0.0,0.0,1.41977905,2.63191,34551.0,11489.0,318.0,101.0,36570.0,29.0,14.0,3525.0,5769.0,5.67739430625,14.9305,1.68766393958e+12,48933274539.0,0,0,2.0,2.0,52844567466,58.2196043181,1,2,8.33333333333,24,1050,1050,6,60972603076,OST0006,67.1743756369,3,50420152092,OST0003,55.5485917516
11,30128.455913,H5Part,1,BD-CATS-IO,1487193487,scratch3,52.206012,3930038,1487193423,1649291067392,1536.02200317,64,0,3.34066699953,1212,6.57647321898,0.5,0.896521637908,0.0,0.0,23.1526830714,58.8848,1931222.0,10310.0,18.0,0.0,1932716.0,17.0,0.0,51.0,2.0,5.65592355952,14.3882,1.83253645722e+12,7119160289.0,0,0,0.0,1.0,77020984696,84.8551037168,0,0,0.0,36,1920,1920,19,78952171848,OST0013,86.9827198038,30,75863367556,OST001e,83.579740608
12,21004.485951,H5Part,1,BD-CATS-IO,1487209952,scratch1,74.883362,3939448,1487209870,1649291067392,1536.02200317,82,0,7.04798797627,1170,11.486877916,3.14417942519,0.97414110317,0.245098039216,0.245098039216,5.29162411765,8.23738,81064.0,157230.0,3212.0,1.0,103662.0,131.0,0.0,407.0,77.0,5.79299604167,12.3946,1.68833547264e+12,4736570028.3,1,1,0.0,1.0,56101791981,61.8081344459,0,0,0.0,24,368,368,7,61789392568,OST0007,68.0742441251,8,51405460672,OST0008,56.6341200927
13,20910.868341,H5Part,1,BD-CATS-IO,1487210034,scratch2,75.218614,3939449,1487209953,1649291067392,1536.02200317,81,0,6.37703048866,1184,9.74015741679,1.39038358157,0.958296437304,0.0,0.0,0.985441352941,2.0288,13475.0,6744.0,18.0,3.0,21694.0,4.0,0.0,2016.0,164.0,5.95727077206,15.1147,1.6789572608e+12,42108375249.0,0,0,2.0,2.0,52998057516,58.3887064682,1,2,8.33333333333,24,451,451,6,61442340820,OST0006,67.691892326,3,50595586572,OST0003,55.7418703893
14,27412.969664,H5Part,1,BD-CATS-IO,1487210578,scratch3,57.377459,3939450,1487210515,1649291067392,1536.02200317,63,0,6.71634347859,1191,13.3452067596,3.4642161389,0.907062162808,0.213675213675,0.0,14.1384784615,48.017,890135.0,6175.0,88.0,0.0,917661.0,10.0,0.0,30.0,0.0,5.63369851709,12.4418,1.81341618176e+12,4861699312.0,1,0,0.0,1.0,77192063394,85.0435835281,0,0,0.0,36,1013,1013,19,79092145808,OST0013,87.1369310871,30,76044114176,OST001e,83.7788717052
15,18214.245032,H5Part,1,BD-CATS-IO,1487296577,scratch1,86.354748,3952854,1487296482,1649291067392,1536.02200317,95,0,4.54660795554,1262,9.0568409055,1.4013804578,0.845739260629,0.0,0.0,3.878853,5.70997,5542.0,102631.0,243.0,2.0,9890.0,12.0,0.0,912.0,30.0,6.54081575,14.9267,1.84224243302e+12,1.07875226365e+11,0,0,0.0,1.0,56298915024,62.0253076789,0,0,0.0,24,579,579,7,61887627740,OST0007,68.1824711978,8,51468429200,OST0008,56.7034934069
16,18058.940306,H5Part,1,BD-CATS-IO,1487296396,scratch2,87.097388,3952855,1487296304,1649291067392,1536.02200317,92,0,6.7729992367,1263,11.0443994751,1.97895421009,0.94712937491,0.0,0.0,8.2258065,12.2234,227740.0,366835.0,9535.0,4.0,231859.0,242.0,0.0,202062.0,5011.0,5.63807542917,13.6703,1.6933110825e+12,48046657093.0,0,0,2.0,2.0,53137936325,58.5428129223,1,2,8.33333333333,24,401,401,6,61744771788,OST0006,68.0250847833,3,50740849292,OST0003,55.901908374
17,29265.792861,H5Part,1,BD-CATS-IO,1487297103,scratch3,53.74488,3952856,1487297025,1649291067392,1536.02200317,78,0,3.73047080866,1292,8.03149318698,0.0698771242969,0.946372667251,0.173611111111,0.0,4.4327959375,8.24267,195486.0,14864.0,7849.0,0.0,202227.0,76.0,0.0,6396.0,116.0,5.12260334722,13.9597,1.70686836326e+12,35881744030.0,1,0,0.0,1.0,77913858218,85.8387950525,0,0,0.0,36,1122,1122,19,79828144224,OST0013,87.9477909089,30,76762220012,OST001e,84.5700190196
18,20187.21145,H5Part,1,BD-CATS-IO,1487382783,scratch1,77.914998,3978543,1487382700,1649291067392,1536.02200317,83,0,4.0500807343,623,8.50348905873,0.429332239501,0.970140885091,0.0,0.0,4.35000176471,5.14243,5207.0,176183.0,861.0,2.0,5678.0,18.0,0.0,136.0,28.0,6.22437334559,13.4795,1.68490708173e+12,15146068013.0,0,0,0.0,1.0,56213640210,61.9313592152,0,0,0.0,24,395,395,7,61798133072,OST0007,68.0838736615,8,51440600476,OST0008,56.6728341097
19,17947.781097,H5Part,1,BD-CATS-IO,1487382790,scratch2,87.636824,3978544,1487382696,1649291067392,1536.02200317,94,0,3.72790914978,624,6.98704856547,0.689273281254,0.948142153867,0.0,0.0,1.82260275,5.08538,24726.0,24839.0,14.0,7.0,87641.0,16.0,0.0,1549.0,4780.0,5.23594283125,15.1313,1.71190544384e+12,27592226067.0,0,0,2.0,2.0,52887301092,58.2666845558,1,2,8.33333333333,24,391,391,6,61421457140,OST0006,67.6688844815,3,50463828420,OST0003,55.5967105773
20,30175.278277,H5Part,1,BD-CATS-IO,1487383411,scratch3,52.125005,3978545,1487383354,1649291067392,1536.02200317,57,0,3.71800644836,634,7.81681131041,0.644235254003,0.97441609724,0.0,0.0,9.25971538462,17.0396,464107.0,2428.0,19.0,0.0,492016.0,0.0,0.0,2.0,1.0,5.26698258547,12.1281,1.69190275891e+12,691474766.0,0,0,0.0,1.0,77855744380,85.7747702186,0,0,0.0,36,1049,1049,19,79802483888,OST0013,87.9195205553,30,76744972228,OST001e,84.551016893
21,17821.552453,H5Part,1,BD-CATS-IO,1487469489,scratch1,88.257549,4015751,1487469388,1649291067392,1536.02200317,101,0,5.67082926043,725,8.92476488333,1.26670960471,0.75121746499,0.0,0.0,3.33934285714,4.55178,17997.0,3999.0,313.0,1.0,17962.0,1.0,1.0,260.0,259.0,7.19056724206,14.8737,2.03592362394e+12,1.59567221599e+11,0,0,0.0,1.0,56101529521,61.80784529,0,0,0.0,24,685,685,7,61658233512,OST0007,67.9297443457,8,51306374624,OST0008,56.5249555979
22,21333.444618,H5Part,1,BD-CATS-IO,1487469305,scratch2,73.728672,4015752,1487469226,1649291067392,1536.02200317,79,0,4.82482995402,723,9.47468164558,1.1336742412,0.972013436166,0.245098039216,0.0,0.922821470588,1.78146,7760.0,20804.0,6.0,14.0,16584.0,1.0,0.0,1195.0,75.0,5.76458128431,14.8405,1.6891081687e+12,7669886029.0,1,0,2.0,2.0,53264235383,58.6819583735,1,2,8.33333333333,24,523,523,6,61807334196,OST0006,68.0940106694,3,50838522976,OST0003,56.0095168474
23,27556.628462,H5Part,1,BD-CATS-IO,1487470182,scratch3,57.078337,4015753,1487470118,1649291067392,1536.02200317,64,0,5.92949058143,720,12.1162833117,3.24633582506,0.893193209703,0.198412698413,0.198412698413,14.0938535714,46.3351,914448.0,8501.0,126.0,0.0,914902.0,0.0,0.0,1.0,0.0,5.53193287302,12.5772,1.82673794845e+12,19773029774.6,1,1,0.0,1.0,78444566376,86.4234837054,0,0,0.0,36,1415,1415,19,80367514976,OST0013,88.5420232637,30,77340814344,OST001e,85.2074645449
24,18950.530335,H5Part,1,BD-CATS-IO,1487555962,scratch1,82.999605,4048963,1487555873,1649291067392,1536.02200317,89,0,5.22441628067,924,11.7520282699,2.37845400566,0.87497289067,0.219298245614,0.219298245614,3.32683736842,4.7673,7145.0,4934.0,82.0,1.0,7081.0,9.0,5.0,601.0,188.0,6.48887884649,14.1086,1.83181194186e+12,53150535238.4,1,1,0.0,1.0,56305349409,62.0323965315,0,0,0.0,24,770,770,7,61874421792,OST0007,68.1679220189,8,51528641864,OST0008,56.769830547
25,21392.536465,H5Part,1,BD-CATS-IO,1487556289,scratch2,73.525013,4048965,1487556210,1649291067392,1536.02200317,79,0,5.60020817159,972,13.7255197562,1.85806151086,0.974662571143,0.0,0.0,1.3203735625,4.34728,18105.0,12156.0,1041.0,3.0,76421.0,3.0,0.0,5566.0,83.0,5.85737964323,15.2141,1.68112929997e+12,11036908341.0,0,0,2.0,2.0,53073239439,58.4715354517,1,2,8.33333333333,24,1107,1107,6,61710401948,OST0006,67.9872190464,14,50584964880,OST000e,55.7301683216
26,29413.52479,H5Part,1,BD-CATS-IO,1487556635,scratch3,53.474942,4048967,1487556573,1649291067392,1536.02200317,62,0,6.57784298288,984,11.1787921112,3.18881138771,0.975894373029,0.0,0.0,43.0445642857,48.7199,3516458.0,19300.0,690.0,0.0,3596102.0,0.0,0.0,4.0,1.0,5.2138951746,12.952,1.68894081434e+12,1089493219.0,0,0,0.0,1.0,78877208405,86.9001315228,0,0,0.0,36,1470,1470,19,80811739404,OST0013,89.0314315731,30,77772860892,OST001e,85.6834563124
27,20263.865479,H5Part,1,BD-CATS-IO,1487642605,scratch1,77.620261,4088886,1487642520,1649291067392,1536.02200317,85,0,3.82259070713,450,9.21894200012,1.00225575656,0.980773871116,0.0,0.0,3.51590166667,4.71924,48977.0,4378.0,531.0,2.0,49531.0,1.0,0.0,722.0,16.0,5.91281340278,17.3429,1.68020839219e+12,1413759421.0,0,0,0.0,1.0,56476321898,62.2207593309,0,0,0.0,24,1017,1017,7,62033300612,OST0007,68.3429610528,8,51621354708,OST0008,56.8719735931
28,21234.13071,H5Part,1,BD-CATS-IO,1487642666,scratch2,74.073507,4088887,1487642587,1649291067392,1536.02200317,79,0,4.87801865913,449,14.385396631,1.29383585917,0.977422800308,0.245098039216,0.980392156863,1.06713070588,4.24652,4923.0,4258.0,36.0,1.0,7206.0,1.0,1.0,113.0,1610.0,5.40326738235,13.8392,1.68324804106e+12,4139512075.0,1,4,2.0,2.0,53523972979,58.9681149416,1,2,8.33333333333,24,1084,1084,6,62305825448,OST0006,68.6432055032,14,50961634100,OST000e,56.1451501068
29,25085.889538,H5Part,1,BD-CATS-IO,1487643329,scratch3,62.70005,4088888,1487643254,1649291067392,1536.02200317,75,0,4.23511121703,447,6.87795568567,0.948696165304,0.937733875168,0.0,0.0,7.714613125,31.9761,540847.0,5041.0,38.0,0.0,540986.0,0.0,0.0,1.0,0.0,4.98085963889,14.4759,1.75525894708e+12,3546094588.07,0,0,0.0,1.0,78793577562,86.807994245,0,0,0.0,36,1751,1751,19,80719735608,OST0013,88.9300696952,30,77703617980,OST001e,85.6071704209
30,20880.895702,H5Part,1,BD-CATS-IO,1487730958,scratch1,75.326583,4100836,1487730875,1649291067392,1536.02200317,83,0,3.97179484884,319,7.77624792161,0.469075407884,0.980496416423,0.245098039216,0.245098039216,4.98624117647,6.38217,72908.0,17421.0,41.0,3.0,73004.0,7.0,0.0,575.0,8.0,6.372937625,14.0702,1.67751702244e+12,4580984003.97,1,1,0.0,1.0,57108297585,62.9170158469,0,0,0.0,24,271,271,7,62686739532,OST0007,69.0628639149,8,52269578416,OST0008,57.5861307828
31,20000.144638,H5Part,1,BD-CATS-IO,1487731271,scratch2,78.643758,4100837,1487731184,1649291067392,1536.02200317,87,0,4.45815965274,325,7.97789380418,0.913394520884,0.931035991854,0.219298245614,0.219298245614,8.06373894737,9.54505,19869.0,19422.0,31.0,3.0,40345.0,257.0,0.0,391.0,4927.0,5.64883321711,15.8666,1.70742261981e+12,64035284953.2,1,1,2.0,2.0,53792656323,59.2641271662,1,2,8.33333333333,24,580,580,6,62524341160,OST0006,68.883947341,14,51255960568,OST000e,56.4694137223
32,20427.866823,H5Part,1,BD-CATS-IO,1487732807,scratch3,76.997101,4100838,1487732719,1649291067392,1536.02200317,88,0,4.09299019415,375,7.58160358306,0.511823104817,0.966320419903,0.0,3.80116959064,0.848782842105,2.5596,2280.0,1012.0,27.0,0.0,2198.0,0.0,0.0,1.0,0.0,4.40694086842,13.0895,1.70677449114e+12,25289.0,0,26,0.0,1.0,78655325288,86.6556797674,0,0,0.0,36,1214,1214,19,80582445404,OST0013,88.7788151436,30,77565831744,OST001e,85.455369384
33,14922.102907,H5Part,1,BD-CATS-IO,1487815336,scratch1,105.406493,4112306,1487815217,1649291067392,1536.02200317,119,0,4.65047913709,337,7.58271848541,2.60662514162,0.971561322879,0.0,0.0,2.0405164,6.29822,52457.0,60792.0,21037.0,9.0,53155.0,291.0,5.0,12348.0,100.0,4.900990995,15.8404,1.67821062554e+12,19357020019.0,0,0,0.0,1.0,57319364387,63.1495511156,0,0,0.0,24,913,913,7,62917848736,OST0007,69.3174801802,8,52496794056,OST0008,57.8364574538
34,19134.602461,H5Part,1,BD-CATS-IO,1487815319,scratch2,82.201161,4112307,1487815230,1649291067392,1536.02200317,89,0,4.43850625767,335,11.6741076764,0.709605551742,0.959796346446,0.0,0.0,1.6781105,3.83407,20153.0,12722.0,1140.0,86.0,30445.0,351.0,2.0,1314.0,703.0,5.84399534491,14.6384,1.68386668954e+12,34509373781.0,0,0,2.0,2.0,53616929920,59.0705269128,1,2,8.33333333333,24,926,926,6,62339372852,OST0006,68.6801651507,14,51183933912,OST000e,56.3900609409
