# Platform,File Sys,App,API,R/W,I/O Time(s),I/O b/w (GiB/s),Total Bytes,Start,End,Job ID
mira,mira-fs1,IOR,POSIX,write,73.750406,14217.901451,1099511627776,1487192590,1487192666,1025514
mira,mira-fs1,HACC-IO,GLEAN,write,232.252981,10722.602691,2611327991808,1487192673,1487192908,1025514
mira,mira-fs1,IOR,MPIIO,read,88.645054,11828.928442,1099511627776,1487192980,1487193088,1025514
mira,mira-fs1,IOR,POSIX,read,57.135247,18352.524184,1099511627776,1487193095,1487193172,1025514
mira,mira-fs1,HACC-IO,GLEAN,read,132.398948,18809.488047,2611327991808,1487193179,1487193313,1025514
mira,mira-fs1,IOR,MPIIO,write,73.361794,14293.216385,1099511627776,1487281875,1487281983,1026386
mira,mira-fs1,IOR,POSIX,write,71.392844,14687.410494,1099511627776,1487281989,1487282063,1026386
mira,mira-fs1,HACC-IO,GLEAN,write,166.959379,14915.942132,2611327991808,1487282070,1487282238,1026386
mira,mira-fs1,IOR,MPIIO,read,81.403438,12881.224915,1099511627776,1487282306,1487282418,1026386
mira,mira-fs1,IOR,POSIX,read,52.271622,20060.138846,1099511627776,1487282424,1487282492,1026386
mira,mira-fs1,HACC-IO,GLEAN,read,129.133094,19285.191418,2611327991808,1487282499,1487282629,1026386
mira,mira-fs1,IOR,MPIIO,write,67.870198,15449.726608,1099511627776,1487370688,1487370783,1027273
mira,mira-fs1,IOR,POSIX,write,73.327834,14299.835928,1099511627776,1487370790,1487370866,1027273
mira,mira-fs1,IOR,MPIIO,write,71.769138,14610.402641,1099511627776,1487450557,1487450658,1027936
mira,mira-fs1,IOR,POSIX,write,71.865819,14590.747297,1099511627776,1487450665,1487450739,1027936
mira,mira-fs1,HACC-IO,GLEAN,write,92.380251,17025.979446,1649267703808,1487450746,1487450839,1027936
mira,mira-fs1,IOR,MPIIO,read,77.004719,13617.035522,1099511627776,1487450939,1487451051,1027936
mira,mira-fs1,IOR,POSIX,read,52.987409,19789.154200,1099511627776,1487451057,1487451130,1027936
mira,mira-fs1,HACC-IO,GLEAN,read,486.533503,3232.797414,1649267703808,1487451137,1487451625,1027936
mira,mira-fs1,IOR,MPIIO,write,71.878433,14588.186637,1099511627776,1487540891,1487540995,1028851
mira,mira-fs1,IOR,POSIX,write,71.076178,14752.847270,1099511627776,1487541002,1487541075,1028851
mira,mira-fs1,IOR,MPIIO,write,73.382643,14289.155490,1099511627776,1487702841,1487702945,1029755
mira,mira-fs1,IOR,POSIX,write,68.510701,15305.287844,1099511627776,1487702952,1487703023,1029755
mira,mira-fs1,HACC-IO,GLEAN,write,546.745018,2876.778384,1649267703808,1487703030,1487703578,1029755
mira,mira-fs1,IOR,MPIIO,read,88.854493,11801.046393,1099511627776,1487703683,1487703802,1029755
mira,mira-fs1,IOR,POSIX,read,54.07216,19392.160250,1099511627776,1487703809,1487703868,1029755
mira,mira-fs1,HACC-IO,GLEAN,read,90.373025,17404.134080,1649267703808,1487703876,1487703967,1029755
mira,mira-fs1,IOR,MPIIO,write,81.649673,12842.378388,1099511627776,1487713757,1487713866,1030450
mira,mira-fs1,IOR,POSIX,write,75.729111,13846.405728,1099511627776,1487713872,1487713950,1030450
mira,mira-fs1,HACC-IO,GLEAN,write,1876.655475,838.120939,1649267703808,1487713957,1487715836,1030450
mira,mira-fs1,IOR,MPIIO,read,97.055392,10803.892306,1099511627776,1487715957,1487716069,1030450
mira,mira-fs1,IOR,POSIX,read,52.525377,19963.226542,1099511627776,1487716076,1487716141,1030450
mira,mira-fs1,HACC-IO,GLEAN,read,86.889879,18101.811878,1649267703808,1487716148,1487716236,1030450
mira,mira-fs1,IOR,MPIIO,write,74.705256,14036.174358,1099511627776,1487857643,1487857748,1031208
mira,mira-fs1,IOR,POSIX,write,72.582816,14446.615096,1099511627776,1487857754,1487857830,1031208
mira,mira-fs1,HACC-IO,GLEAN,write,936.121697,1680.192067,1649267703808,1487857837,1487858775,1031208
mira,mira-fs1,IOR,MPIIO,read,84.350417,12431.189293,1099511627776,1487858811,1487858924,1031208
mira,mira-fs1,IOR,POSIX,read,55.599751,18859.365091,1099511627776,1487858930,1487858992,1031208
mira,mira-fs1,HACC-IO,GLEAN,read,85.137468,18474.407132,1649267703808,1487858999,1487859086,1031208
mira,mira-fs1,IOR,MPIIO,write,76.600524,13688.888004,1099511627776,1487881228,1487881339,1032037
mira,mira-fs1,IOR,POSIX,write,71.755763,14613.125937,1099511627776,1487881345,1487881419,1032037
mira,mira-fs1,HACC-IO,GLEAN,write,92.664181,16973.810594,1649267703808,1487881426,1487881521,1032037
mira,mira-fs1,IOR,MPIIO,read,89.344684,11736.299780,1099511627776,1487881568,1487881681,1032037
mira,mira-fs1,IOR,POSIX,read,52.996573,19785.732222,1099511627776,1487881688,1487881756,1032037
mira,mira-fs1,HACC-IO,GLEAN,read,84.775892,18553.201993,1649267703808,1487881763,1487881849,1032037
mira,mira-fs1,IOR,MPIIO,write,76.15677,13768.651149,1099511627776,1487996261,1487996373,1032945
mira,mira-fs1,IOR,POSIX,write,94.955053,11042.866815,1099511627776,1487996379,1487996476,1032945
mira,mira-fs1,HACC-IO,GLEAN,write,97.271743,16169.796119,1649267703808,1487996494,1487996592,1032945
mira,mira-fs1,IOR,MPIIO,read,134.328639,7806.049436,1099511627776,1487996673,1487996974,1032945
mira,mira-fs1,IOR,POSIX,read,64.341811,16296.961351,1099511627776,1487996980,1487997051,1032945
mira,mira-fs1,HACC-IO,GLEAN,read,120.67367,13034.030111,1649267703808,1487997058,1487997180,1032945
mira,mira-fs1,IOR,MPIIO,write,75.530148,13882.880301,1099511627776,1488103466,1488103579,1033320
mira,mira-fs1,IOR,POSIX,write,75.830827,13827.832849,1099511627776,1488103585,1488103664,1033320
mira,mira-fs1,HACC-IO,GLEAN,write,95.630948,16447.230528,1649267703808,1488103671,1488103768,1033320
mira,mira-fs1,IOR,MPIIO,read,86.020463,12189.843747,1099511627776,1488103807,1488103926,1033320
mira,mira-fs1,IOR,POSIX,read,54.041716,19403.084972,1099511627776,1488103933,1488103992,1033320
mira,mira-fs1,HACC-IO,GLEAN,read,86.139364,18259.529329,1649267703808,1488103999,1488104086,1033320
mira,mira-fs1,IOR,MPIIO,write,71.207715,14725.595432,1099511627776,1488148285,1488148385,1033686
mira,mira-fs1,IOR,POSIX,write,72.047029,14554.049160,1099511627776,1488148391,1488148466,1033686
