"sys" "fs" "app" "api" "op" "NumMeasures" "min" "max" "mean" "median" "sum" "StandardDev" "Quantile.low" "Quantile.high" "CI.NNorm.low" "CI.NNorm.high" "StandardErr" "CI.Norm.StudT" "CI.Norm.Norm"
"mira" "mira-fs1" "BD-CATS-IO" "H5Part" "read" 2 0.541254505332849 0.564284408742123 0.552769457037486 0.552769457037486 1.10553891407497 0.0162846008707687 0.541830252918081 0.563708661156891 0.564284408742123 0.541254505332849 0.0115149517046369 0.14631133388628 0.0225688906248064
"mira" "mira-fs1" "HACC-IO" "GLEAN" "read" 16 0.161155286053497 0.961368790418192 0.828076143341964 0.906308313370684 13.2492182934714 0.209250447678988 0.320977200977047 0.960586468552402 0.924879041737017 0.882102400628618 0.0523126119197469 0.111501692903389 0.102530835299925
"mira" "mira-fs1" "IOR" "MPIIO" "read" 16 0.389132373206705 0.745443323887151 0.600482612803023 0.613680524073477 9.60772180484837 0.0831829865247477 0.422682520244157 0.720456064316166 0.642130396698053 0.588283385453891 0.0207957466311869 0.0443250847066196 0.0407589144287465
"mira" "mira-fs1" "IOR" "POSIX" "read" 16 0.812405211953437 1 0.965091903416604 0.978070374194458 15.4414704546657 0.0461606732406703 0.850831469532841 0.998429602675393 0.986320801361018 0.968278543289999 0.0115401683101676 0.02459728650039 0.0226183142634589
"edison" "scratch1" "BD-CATS-IO" "H5Part" "read" 18 0.273307680256918 0.507547599433535 0.45954871295007 0.481336980571453 8.27187683310126 0.059799920574927 0.309310881178099 0.507334050132527 0.495618462509351 0.4546738250155 0.0140949764509826 0.0297378008854768 0.0276256462068661
"edison" "scratch1" "HACC-IO" "GLEAN" "read" 18 0.706801360262682 1 0.887222900145077 0.918428291839514 15.9700122026114 0.0971867347860317 0.710394456898909 0.990602385071894 0.961242383362456 0.859812907025614 0.0229071330695272 0.0483298261935892 0.0448971558053397
"edison" "scratch1" "IOR" "MPIIO" "read" 18 0.088419177412055 0.477863543515779 0.306294086566721 0.366284050908725 5.51329355820097 0.130677003137719 0.0929346451567612 0.472688239655654 0.389075432541066 0.228029462529458 0.0308008650212722 0.0649841448326214 0.060368586134373
"edison" "scratch1" "IOR" "POSIX" "read" 18 0.574429557586172 0.982228533309756 0.871570007281732 0.9109309272992 15.6882601310712 0.111653542415793 0.631123158744301 0.981293970520239 0.941375870109724 0.813589837838631 0.0263169923285689 0.0555240003765346 0.051580357145412
